# Time-averaged data for fix at2
# TimeStep f_mysf1[3] f_mysf2[3]
30400 24.7897 -26.7144
30500 25.9542 -26.8883
30600 26.2543 -25.3915
30700 26.073 -25.4684
30800 26.2863 -25.7116
30900 23.1786 -26.9137
31000 27.8662 -23.3859
31100 27.1567 -28.5296
31200 25.718 -24.5376
31300 22.8976 -27.8998
31400 29.8659 -25.9241
31500 25.9015 -26.4241
31600 25.7424 -25.4619
31700 26.2391 -27.6341
31800 26.3839 -26.5021
31900 27.8436 -24.747
32000 24.9643 -27.8994
32100 28.1038 -27.2947
32200 25.0883 -27.0253
32300 29.5337 -24.9975
32400 26.5478 -29.2166
32500 25.4439 -24.6448
32600 26.5067 -29.0234
32700 29.7406 -26.8521
32800 25.4848 -25.6886
32900 26.1593 -27.8388
33000 29.8875 -28.5146
33100 26.9366 -27.9391
33200 26.7827 -24.4085
33300 26.4307 -29.4691
33400 29.4997 -28.0684
33500 25.6315 -27.8302
33600 29.8738 -27.2607
33700 27.0057 -27.8093
33800 27.2611 -26.4797
33900 29.4787 -30.5799
34000 27.7251 -27.1333
34100 26.1037 -26.5559
34200 28.9192 -29.0267
34300 29.6972 -28.9567
34400 27.3354 -28.17
34500 29.0343 -26.7692
34600 27.2875 -29.9761
34700 29.5332 -27.8379
34800 27.3738 -30.1392
34900 30.6768 -27.812
35000 26.3362 -27.714
35100 30.0738 -29.1644
35200 30.2106 -30.6935
35300 27.2946 -27.4436
35400 28.2922 -27.4722
35500 28.9261 -31.6129
35600 30.7592 -28.2018
35700 27.3685 -29.1897
35800 31.0811 -27.7081
35900 28.7206 -32.4954
36000 28.7638 -26.9071
36100 28.7242 -29.9028
36200 31.0696 -29.6252
36300 28.3013 -28.8109
36400 29.3087 -30.6634
36500 32.0933 -29.6955
36600 28.4216 -29.8604
36700 30.1152 -29.1627
36800 28.4092 -31.8478
36900 31.7612 -27.6142
37000 27.5855 -29.3045
37100 32.5151 -30.3472
37200 29.4676 -32.8733
37300 30.4844 -27.7303
37400 30.4248 -31.3917
37500 30.4449 -30.7957
37600 30.5059 -29.6529
37700 29.0097 -31.1047
37800 32.9019 -27.8683
37900 27.6957 -32.107
38000 33.6158 -30.4453
38100 29.364 -33.6782
38200 31.3177 -27.6002
38300 30.0024 -30.2047
38400 32.1186 -34.3091
38500 30.705 -29.5915
38600 28.9346 -30.1028
38700 34.6067 -30.2803
38800 29.1918 -34.6524
38900 31.9801 -29.1262
39000 31.0063 -30.6606
39100 32.0534 -31.1056
39200 29.0722 -32.6611
39300 32.216 -31.9507
39400 34.6854 -30.8618
39500 29.7837 -31.8684
39600 30.3506 -31.3863
39700 32.9481 -33.9345
39800 33.8267 -29.0184
39900 28.0262 -32.0994
40000 32.4829 -32.6627
40100 33.3905 -32.9788
40200 32.0297 -28.8122
40300 31.4579 -33.973
40400 32.1483 -33.5326
40500 33.2387 -30.8839
40600 30.9848 -33.2759
40700 33.312 -32.2149
40800 31.6828 -32.2567
40900 33.361 -30.0888
41000 32.0857 -35.3076
41100 32.3117 -32.5445
41200 32.6881 -30.4283
41300 32.5376 -34.7618
41400 33.6899 -32.463
41500 31.4794 -33.3209
41600 34.8292 -31.0886
41700 32.0225 -34.4375
41800 33.135 -33.1794
41900 33.4138 -32.7987
42000 32.7443 -33.3309
42100 33.2205 -33.267
42200 33.4489 -33.1958
42300 34.5008 -32.7686
42400 31.4746 -33.9048
42500 33.5604 -34.1617
42600 35.362 -34.6954
42700 33.0974 -32.477
42800 32.3021 -32.6989
42900 35.4059 -34.8294
43000 33.6514 -33.3717
43100 32.7048 -34.0527
43200 34.3243 -33.3687
43300 34.6045 -35.2249
43400 33.6607 -32.7779
43500 33.8351 -35.2904
43600 35.0122 -33.5508
43700 33.791 -33.4644
43800 33.7355 -35.6195
43900 35.6373 -34.9231
44000 33.2446 -33.9587
44100 35.1656 -32.3247
44200 33.3742 -36.4998
44300 37.2082 -35.8457
44400 33.2497 -32.3994
44500 33.957 -34.134
44600 35.6441 -36.6366
44700 34.4985 -35.3063
44800 35.6355 -32.6993
44900 34.0123 -35.484
45000 36.2634 -36.7702
45100 34.964 -34.7295
45200 35.2203 -34.0386
45300 35.8437 -36.3014
45400 33.6393 -34.9357
45500 35.9069 -35.1677
45600 35.9136 -35.9295
45700 35.6132 -34.9316
45800 34.7108 -34.8471
45900 37.0121 -35.7522
46000 36.175 -38.7384
46100 34.6693 -33.674
46200 35.0741 -35.2421
46300 36.876 -38.3212
46400 36.5758 -34.7307
46500 34.814 -34.7403
46600 36.0203 -36.0092
46700 36.349 -39.0789
46800 35.8061 -34.4642
46900 35.9419 -35.0743
47000 36.3862 -37.9784
47100 37.1935 -36.0164
47200 36.1814 -35.7926
47300 36.8436 -36.0508
47400 35.9685 -37.756
47500 37.0172 -36.0423
47600 36.2796 -37.8614
47700 36.9425 -35.4209
47800 36.2621 -36.9733
47900 37.7447 -37.4502
48000 37.1102 -36.3175
48100 35.7185 -36.8323
48200 38.1132 -35.4675
48300 36.3032 -39.713
48400 37.5265 -36.505
48500 36.5069 -36.1016
48600 38.1124 -37.5131
48700 37.572 -37.3325
48800 37.4613 -38.2108
48900 38.6761 -36.9747
49000 35.0496 -37.9061
49100 38.2947 -37.6638
49200 37.7282 -37.2907
49300 38.6699 -37.1357
49400 36.2702 -37.5438
49500 37.4461 -38.6082
49600 39.425 -38.9231
49700 37.3695 -37.8793
49800 38.3457 -36.8592
49900 37.7994 -38.9496
50000 39.3031 -38.2722
50100 37.7869 -38.1259
50200 37.8641 -38.2147
50300 38.2595 -37.4745
50400 37.521 -39.5573
50500 39.8305 -38.2757
50600 37.9185 -38.5306
50700 37.7835 -37.8264
50800 38.9062 -38.7458
50900 39.5301 -38.2921
51000 40.2142 -38.5333
51100 36.3284 -40.4674
51200 40.1255 -38.1271
51300 39.9107 -40.0202
51400 38.776 -37.9914
51500 37.4578 -38.722
51600 40.0371 -38.4065
51700 40.4931 -40.3338
51800 37.8965 -40.7799
51900 39.6078 -37.3184
52000 37.4294 -40.6329
52100 40.4361 -38.5034
52200 40.2179 -39.2605
52300 39.7902 -39.4273
52400 39.2186 -40.1683
52500 38.5899 -39.6568
52600 41.0469 -38.7141
52700 38.6755 -41.9479
52800 39.2679 -38.1636
52900 40.7409 -39.7222
53000 42.5997 -40.6864
53100 37.9782 -39.7904
53200 38.276 -38.4716
53300 41.0423 -40.7881
53400 41.0688 -43.5859
53500 40.0207 -37.4694
53600 38.6454 -39.02
53700 41.5402 -41.2414
53800 41.5322 -40.622
53900 38.5895 -39.3735
54000 39.9523 -40.8045
54100 40.6828 -43.3984
54200 41.8645 -38.5149
54300 40.7198 -39.9302
54400 39.8327 -41.6574
54500 42.333 -40.0524
54600 40.8109 -41.1219
