# Time-averaged data for fix at1
# TimeStep v_pos
77300 32.3666
77400 32.3696
77500 32.3726
77600 32.3756
77700 32.3786
77800 32.3816
77900 32.3846
78000 32.3876
78100 32.3906
78200 32.3936
78300 32.3966
78400 32.3996
78500 32.4026
78600 32.4056
78700 32.4086
78800 32.4116
78900 32.4146
79000 32.4176
79100 32.4206
79200 32.4236
79300 32.4266
79400 32.4296
79500 32.4326
79600 32.4356
79700 32.4386
79800 32.4416
79900 32.4446
80000 32.4476
80100 32.4506
80200 32.4536
80300 32.4566
80400 32.4596
80500 32.4626
80600 32.4656
80700 32.4686
80800 32.4716
80900 32.4746
81000 32.4776
81100 32.4806
81200 32.4836
81300 32.4866
81400 32.4896
81500 32.4926
81600 32.4956
81700 32.4986
81800 32.5016
81900 32.5046
82000 32.5076
82100 32.5106
82200 32.5136
82300 32.5166
82400 32.5196
82500 32.5226
82600 32.5256
82700 32.5286
82800 32.5316
82900 32.5346
83000 32.5376
83100 32.5406
83200 32.5436
83300 32.5466
83400 32.5496
83500 32.5526
83600 32.5556
83700 32.5586
83800 32.5616
83900 32.5646
84000 32.5676
84100 32.5706
84200 32.5736
84300 32.5766
84400 32.5796
84500 32.5826
84600 32.5856
84700 32.5886
84800 32.5916
84900 32.5946
85000 32.5976
85100 32.6006
85200 32.6036
85300 32.6066
85400 32.6096
85500 32.6126
85600 32.6156
85700 32.6186
85800 32.6216
85900 32.6246
86000 32.6276
86100 32.6306
86200 32.6336
86300 32.6366
86400 32.6396
86500 32.6426
86600 32.6456
86700 32.6486
86800 32.6516
86900 32.6546
87000 32.6576
87100 32.6606
87200 32.6636
87300 32.6666
87400 32.6696
87500 32.6726
87600 32.6756
87700 32.6786
87800 32.6816
87900 32.6846
88000 32.6876
88100 32.6906
88200 32.6936
88300 32.6966
88400 32.6996
88500 32.7026
88600 32.7056
88700 32.7086
88800 32.7116
88900 32.7146
89000 32.7176
89100 32.7206
89200 32.7236
89300 32.7266
89400 32.7296
89500 32.7326
89600 32.7356
89700 32.7386
89800 32.7416
89900 32.7446
90000 32.7476
90100 32.7506
90200 32.7536
90300 32.7566
90400 32.7596
90500 32.7626
90600 32.7656
90700 32.7686
90800 32.7716
90900 32.7746
91000 32.7776
91100 32.7806
91200 32.7836
91300 32.7866
91400 32.7896
91500 32.7926
91600 32.7956
91700 32.7986
91800 32.8016
91900 32.8046
92000 32.8076
92100 32.8106
92200 32.8136
92300 32.8166
92400 32.8196
92500 32.8226
92600 32.8256
92700 32.8286
92800 32.8316
92900 32.8346
93000 32.8376
93100 32.8406
93200 32.8436
93300 32.8466
93400 32.8496
93500 32.8526
93600 32.8556
93700 32.8586
93800 32.8616
93900 32.8646
94000 32.8676
94100 32.8706
94200 32.8736
94300 32.8766
94400 32.8796
94500 32.8826
94600 32.8856
94700 32.8886
94800 32.8916
94900 32.8946
95000 32.8976
95100 32.9006
95200 32.9036
95300 32.9066
95400 32.9096
95500 32.9126
95600 32.9156
95700 32.9186
95800 32.9216
95900 32.9246
96000 32.9276
96100 32.9306
96200 32.9336
96300 32.9366
96400 32.9396
96500 32.9426
96600 32.9456
96700 32.9486
96800 32.9516
96900 32.9546
97000 32.9576
97100 32.9606
97200 32.9636
97300 32.9666
97400 32.9696
97500 32.9726
97600 32.9756
97700 32.9786
97800 32.9816
97900 32.9846
98000 32.9876
98100 32.9906
98200 32.9936
98300 32.9966
98400 32.9996
98500 33.0026
98600 33.0056
98700 33.0086
98800 33.0116
98900 33.0146
99000 33.0176
99100 33.0206
99200 33.0236
99300 33.0266
99400 33.0296
99500 33.0326
99600 33.0356
99700 33.0386
99800 33.0416
99900 33.0446
100000 33.0476
100100 33.0506
100200 33.0536
100300 33.0566
100400 33.0596
100500 33.0626
100600 33.0656
100700 33.0686
100800 33.0716
100900 33.0746
101000 33.0776
101100 33.0806
101200 33.0836
101300 33.0866
101400 33.0896
101500 33.0926
101600 33.0956
101700 33.0986
101800 33.1016
101900 33.1046
102000 33.1076
102100 33.1106
102200 33.1136
102300 33.1166
102400 33.1196
102500 33.1226
102600 33.1256
102700 33.1286
102800 33.1316
102900 33.1346
103000 33.1376
103100 33.1406
103200 33.1436
103300 33.1466
103400 33.1496
103500 33.1526
103600 33.1556
103700 33.1586
103800 33.1616
103900 33.1646
104000 33.1676
104100 33.1706
104200 33.1736
104300 33.1766
104400 33.1796
104500 33.1826
104600 33.1856
104700 33.1886
104800 33.1916
104900 33.1946
105000 33.1976
105100 33.2006
105200 33.2036
105300 33.2066
105400 33.2096
105500 33.2126
105600 33.2156
105700 33.2186
105800 33.2216
105900 33.2246
106000 33.2276
106100 33.2306
106200 33.2336
106300 33.2366
106400 33.2396
106500 33.2426
106600 33.2456
106700 33.2486
106800 33.2516
106900 33.2546
107000 33.2576
107100 33.2606
107200 33.2636
107300 33.2666
107400 33.2696
107500 33.2726
107600 33.2756
107700 33.2786
107800 33.2816
107900 33.2846
108000 33.2876
108100 33.2906
108200 33.2936
